,fold
1746,4722670
1747,3981394
1748,2123417
1749,5936044
1750,4983521
1751,1207783
1752,2250783
1753,1210427
1754,5931181
1755,1486621
1756,1320264
1757,1645081
1758,4198226
1759,1126224
1760,4619367
1761,2654293
1762,2402076
1763,1715473
1764,1349701
1765,2656323
1766,1237509
1767,6003017
1768,5394990
1769,1831997
1770,5684365
1771,4899511
1772,1849813
1773,1869080
1774,5658684
1775,3842702
1776,3431195
1777,2516591
1778,1195717
1779,2230770
1780,2108857
1781,3958756
1782,2298875
1783,4556967
1784,2139268
1785,1857168
1786,3696911
1787,3957513
1788,2231070
1789,5117085
1790,4469243
1791,2789584
1792,2922084
1793,2825985
1794,5020016
1795,5937879
1796,3447623
1797,3849760
1798,2379073
1799,1582366
1800,5148916
1801,2371040
1802,4260803
1803,2897008
1804,4882093
1805,2625976
1806,1835060
1807,3053917
1808,1355501
1809,4239989
1810,2459409
1811,1747555
1812,1334099
1813,3475591
1814,5422024
1815,4222838
1816,5686846
1817,3675956
1818,3966774
1819,3869799
1820,3949798
1821,5547821
1822,5012326
1823,5382960
1824,4242187
1825,5523959
1826,2669771
1827,3693506
1828,3042207
1829,1514126
1830,5217292
1831,1302344
1832,5970271
1833,1288114
1834,1342107
1835,1477950
1836,5653506
1837,3188748
1838,1533839
1839,4724197
1840,4920573
1841,4745097
1842,1878537
1843,2142480
1844,2399124
1845,3672602
1846,3932199
1847,2759124
1848,5513410
1849,4077127
1850,2378824
1851,1908238
1852,3026268
1853,3949413
1854,1012512
1855,1508458
1856,1562706
1857,1995731
1858,3325852
1859,1003956
1860,5269070
1861,1003043
1862,1536707
1863,1341506
1864,1201537
1865,1033573
1866,4591422
1867,1276836
1868,2272097
1869,1023453
1870,1719958
1871,1851577
1872,1247746
1873,2892382
1874,4428602
1875,1488987
1876,5938127
1877,3549515
1878,5473747
1879,3430235
1880,5025717
1881,1014496
1882,3425202
1883,4463935
1884,2070635
1885,2639824
1886,3348866
1887,2493582
1888,1040702
1889,5505783
1890,3607178
1891,1158892
1892,5137269
1893,3977224
1894,2504101
1895,5554933
1896,1855352
1897,1418790
1898,2591682
1899,1405366
1900,2771985
1901,4066557
1902,1066028
1903,1273990
1904,2536858
1905,1963101
1906,3026958
1907,4132813
1908,4221070
1909,5287000
1910,2883627
1911,3932990
1912,3029256
1913,3670562
1914,1336887
1915,1817985
1916,4261254
1917,2656893
1918,4995231
1919,1045028
1920,2561959
1921,1572274
1922,1384811
1923,1616822
1924,4889641
1925,1944280
1926,4617621
1927,1352231
1928,1707841
1929,1732467
1930,4858500
1931,1774167
1932,3507482
1933,5079694
1934,5771558
1935,1557121
1936,1623234
1937,4394150
1938,5518316
1939,1502489
1940,4463597
1941,1557149
1942,2510601
1943,4482729
1944,4987582
1945,3153166
1946,4881176
1947,4725615
1948,5656764
1949,1802972
1950,2928733
1951,4373328
1952,1130910
1953,1517416
1954,4461214
1955,1878776
1956,1904283
1957,2136171
1958,3171913
1959,2895210
1960,1966811
1961,5379069
1962,4392971
1963,5279009
1964,2776606
1965,1298116
1966,2037683
1967,3952687
1968,5292016
1969,1413563
1970,4991333
1971,5282664
1972,2401237
1973,4328269
1974,5386004
1975,3299764
1976,5268754
1977,1616728
1978,2229066
1979,4625788
1980,1034193
1981,4357529
1982,1403593
1983,1017047
1984,4752644
1985,3429953
1986,4105214
1987,5783978
1988,5906197
1989,4297014
1990,4491130
1991,3840674
1992,1347207
1993,1339355
1994,4081246
1995,5295849
1996,1058104
1997,1432103
1998,5638350
1999,4198693
2000,5967625
2001,1129030
2002,1302792
2003,1896353
2004,4997523
2005,4485100
2006,4897387
2007,5813879
2008,2505317
2009,5670718
2010,5405958
2011,1969113
2012,5399505
2013,1121560
2014,1913144
2015,4077781
2016,4231785
2017,2633260
2018,4238752
2019,4097186
2020,3692442
2021,1311115
2022,5651842
2023,3848963
2024,1585482
2025,5010120
2026,3969458
2027,2896289
2028,1121066
2029,2633931
2030,1595471
2031,5406292
2032,5258312
2033,1152335
2034,2404305
2035,1310793
2036,2247209
2037,1525210
2038,4750545
2039,4891066
2040,2123480
2041,3770628
2042,1592529
2043,5916016
2044,3803803
2045,1474643
2046,4851439
2047,2392415
2048,1714179
2049,4080927
2050,2122074
2051,3039384
2052,1426895
2053,2895586
2054,1967332
2055,3037912
2056,4756385
2057,5472437
2058,2128508
2059,5947055
2060,1331154
2061,1193295
2062,1997123
2063,6000592
2064,2645914
2065,5934778
2066,4596177
2067,1283510
2068,1423863
2069,3421042
2070,5423831
2071,1424145
2072,4526232
2073,5391562
2074,4602168
